Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2044,11,24,6885.518605,6756.061692,6706.394913,6688.117371,6738.505384,7001.035484,7282.609286,7416.420876,7691.801471,7936.211675,8271.592126,8391.618228,8513.403822,8377.32833,8478.33058,8193.677771,7937.169718,7998.595778,8207.624014,8371.558674,8296.240904,7901.093695,7648.879745,7459.461498
2044,11,25,7734.130731,7519.818116,7397.751747,7327.880785,7432.995569,7796.337701,8174.032966,8320.460388,8312.93978,8247.752819,8581.621588,8510.055519,8404.841294,8098.014861,8072.536988,7584.624086,7479.170465,7659.993926,7765.707499,8082.591417,8336.678497,7948.735117,7779.903345,7562.410687
2044,11,26,7293.392679,7169.722455,7098.563142,7076.398506,7143.464485,7321.832727,7480.743271,7632.765799,7852.126708,7967.29647,8276.706866,8342.05902,8330.351221,8079.735783,7999.845804,7644.237298,7485.099902,7747.617224,7991.519943,8166.301517,8286.153126,7995.976233,7835.096207,7678.374176
2044,11,27,6894.041626,6763.076331,6696.607958,6676.826724,6746.662712,7005.79952,7249.937735,7431.20178,7732.5373,8001.401774,8329.630642,8447.160877,8577.754215,8453.171549,8512.192343,8214.324411,7957.691472,8008.103435,8193.612241,8340.078487,8273.682214,7895.301083,7632.114798,7429.902629
2044,11,28,7674.326721,7461.28719,7339.842339,7270.681552,7372.764526,7729.984646,8092.258658,8262.114282,8331.005001,8338.624746,8685.742546,8625.393981,8577.145941,8180.738378,8119.16632,7672.253711,7456.200648,7599.95303,7703.312535,8021.924821,8276.395017,7888.83406,7721.270919,7504.624352
2044,11,29,7161.418908,6956.535281,6876.010707,6823.028085,6878.84694,7134.786998,7364.049053,7530.03897,8563.99401,8753.18151,9111.661661,9183.795966,9303.070057,9230.390589,9262.277632,8828.1644,8546.645467,8619.187388,8777.521087,9030.557114,9048.161779,8532.128083,8216.313036,7966.849708
2044,11,30,7784.033316,7594.966629,7512.14699,7484.976746,7594.114799,7936.018561,8385.528588,8707.638607,8603.133406,7946.381233,8296.258016,8342.447896,8458.008646,8213.243118,8153.575476,7739.317404,7487.002875,7728.603663,7891.26859,8212.763806,8424.815373,7943.837165,7663.45163,7429.363791
2044,12,1,7438.810421,7226.859561,7140.348936,7097.262317,7200.323771,7471.423738,7715.349857,7971.798479,8040.710977,8053.394081,8350.129724,8574.884003,8537.257266,8302.77631,8290.820974,7862.124003,7658.025978,7913.619844,8094.534123,8448.37979,8668.493115,8157.368207,7859.886334,7604.435159
2044,12,2,7552.28286,7332.958575,7243.24602,7189.718114,7289.97423,7542.90134,7770.945866,8066.371871,8204.196994,8246.81932,8553.35381,8582.675855,8538.255886,8118.79927,7944.410201,7545.449394,7517.551871,7898.190529,8052.022862,8401.134342,8659.464678,8221.268792,8006.822522,7806.924379
2044,12,3,7448.949562,7315.124987,7246.032275,7232.928234,7290.955168,7449.015897,7566.173271,7768.51791,8026.600459,8103.161947,8398.179616,8456.500042,8247.59331,8075.045048,7995.680572,7672.032826,7581.841691,7726.791204,7880.333958,8023.964466,8135.755324,7831.620067,7690.585707,7547.696367
2044,12,4,7461.123339,7319.731312,7231.670644,7198.244326,7226.901554,7339.004287,7404.628976,7644.035018,7957.599822,8109.300748,8412.953321,8453.53884,8410.502369,8169.911032,8081.98843,7698.990733,7555.229896,7808.086943,8080.59397,8312.428478,8451.61069,8130.639959,7926.561589,7740.706541
2044,12,5,7553.717978,7350.264073,7281.599112,7266.249356,7383.440535,7660.786692,7915.306939,8112.358689,8379.553342,8422.822979,8758.843102,8693.71539,8509.391927,8340.140939,8348.960947,7833.450853,7680.750689,8070.303249,8237.941699,8619.586506,8907.934413,8408.164914,8113.382214,7870.079938
2044,12,6,7683.175136,7483.617854,7410.925387,7388.208707,7507.226282,7806.854752,8022.442192,8188.971455,8405.644987,8538.920793,8856.098875,8816.899332,8740.153043,8466.410177,8404.030282,7938.555269,7731.707758,8041.241879,8233.977992,8627.131871,8896.045743,8407.355996,8117.079795,7876.777016
2044,12,7,7720.899447,7528.10814,7461.59754,7445.239836,7570.131983,7876.965492,8038.904943,8217.760457,8380.299416,8546.317185,8854.805754,8812.341746,8732.101715,8457.360267,8391.643805,7924.194974,7722.055087,8048.872437,8236.873928,8624.229508,8913.064899,8438.705823,8156.548186,7924.842454
2044,12,8,7780.362205,7589.667507,7526.227279,7514.693843,7644.2765,7959.052286,8084.534477,8251.429882,8345.159047,8522.985358,8798.236341,8621.76328,8537.762639,8157.675295,7910.287536,7890.757664,7708.453958,8056.129385,8241.421206,8640.557584,8915.387117,8499.951701,8219.83112,7991.877233
2044,12,9,7965.913942,7754.896778,7675.27211,7646.099577,7771.058487,8073.191586,8154.894026,8363.776783,8540.747886,8662.812032,9049.53024,8993.146461,8903.884563,8598.245269,8505.999676,8037.72247,7829.018498,8117.526824,8251.478718,8640.241605,8915.632795,8554.206741,8370.156561,8178.853917
2044,12,10,7809.535025,7672.29274,7596.222084,7585.308595,7642.531706,7816.746371,7974.828477,8089.263126,8258.677527,8155.866242,8243.540725,8191.334848,8193.920432,7938.913244,8009.325073,7721.573053,7853.089918,8192.495395,8374.855027,8602.994111,8749.733565,8466.045762,8320.67503,8179.389419
2044,12,11,7998.369719,7861.41144,7789.185383,7783.795463,7837.875171,7991.893766,8080.891781,8200.532382,8344.605088,8381.466705,8581.893951,8506.382285,8337.876886,8081.562212,7993.803251,7711.75138,7766.711189,8267.079819,8418.046894,9147.566754,9332.998684,9086.077352,8946.469417,8756.558878
